,created_at,text,user_followers_count,retweet_count,favorite_count,hashtags
118,2016-12-29,"RT @sere_velazquez: a mi los chismes me vienen flojos, y no me emporta lo que digan por alli.",321,0,0,[]
123,2016-12-29,lol y'all craayyyycccc i'm done,2431,0,0,[]
136,2016-12-29,The economics of the world's most expensive bag https://t.co/VDTcWdyBXi,1359,0,0,[]
139,2016-12-29,RT @TeaPainUSA: Trump voters claim they don't hate Obama because he's black. They say they'd hate him just as much if he was Mexican.,771,0,0,[]
149,2016-12-29,umjosee_ #VideoMTV2016 Lady Gaga,169,0,0,"[{'text': 'VideoMTV2016', 'indices': [9, 22]}]"
160,2016-12-29,Redhead MILF brise par brotha Hunky devant indigne fils https://t.co/TRYlB9bzDu,270,0,0,[]
163,2016-12-29,@hoyitsmezahra cge maskin ako lang isa :),9,0,0,[]
166,2016-12-29,@isangPamilyaOFC @Butter_Bell1123 @SuperElmo @iamr2alonte @boyband_joao Elmo,89,0,0,[]
177,2016-12-29,@wasmeganstrade accs in bio twd,3157,0,0,[]
186,2016-12-29,https://t.co/QGc0CttPEy,5,0,0,[]
188,2016-12-29,Can't sleep..,224,0,0,[]
195,2016-12-29,@RPEWorld kuy,2352,0,0,[]
198,2016-12-29,#makemoney the 10 minute guide https://t.co/NobUBJUO8p https://t.co/7kYHAzOtgC,22,0,0,"[{'text': 'makemoney', 'indices': [0, 10]}]"
